# MIDI Notes Export
# Format: T (seconds) | Pitch (MIDI note number) | Velocity
# ============================================================

T=0.0000s | Pitch=42 | Vel=127
T=0.0000s | Pitch=42 | Vel=110
T=0.0000s | Pitch=42 | Vel=111
T=0.0000s | Pitch=42 | Vel=111
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=62 | Vel=100
T=0.0000s | Pitch=66 | Vel=100
T=0.0000s | Pitch=50 | Vel=83
T=0.0000s | Pitch=50 | Vel=85
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=67 | Vel=85
T=0.0000s | Pitch=50 | Vel=82
T=0.0000s | Pitch=57 | Vel=96
T=0.0000s | Pitch=62 | Vel=92
T=0.0000s | Pitch=50 | Vel=96
T=0.0000s | Pitch=62 | Vel=105
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=66 | Vel=105
T=0.0000s | Pitch=50 | Vel=89
T=0.0000s | Pitch=57 | Vel=89
T=0.0000s | Pitch=62 | Vel=100
T=0.0000s | Pitch=67 | Vel=87
T=0.0000s | Pitch=57 | Vel=89
T=0.0000s | Pitch=50 | Vel=83
T=0.0000s | Pitch=57 | Vel=101
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=53 | Vel=111
T=0.0000s | Pitch=50 | Vel=87
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=54 | Vel=111
T=0.0000s | Pitch=62 | Vel=96
T=0.0000s | Pitch=50 | Vel=89
T=0.0000s | Pitch=66 | Vel=105
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=50 | Vel=111
T=0.0000s | Pitch=50 | Vel=80
T=0.0000s | Pitch=50 | Vel=83
T=0.0000s | Pitch=62 | Vel=92
T=0.0000s | Pitch=67 | Vel=92
T=0.0000s | Pitch=55 | Vel=103
T=0.0000s | Pitch=59 | Vel=105
T=0.0000s | Pitch=57 | Vel=89
T=0.0000s | Pitch=62 | Vel=100
T=0.0000s | Pitch=54 | Vel=113
T=0.0000s | Pitch=57 | Vel=102
T=0.0000s | Pitch=50 | Vel=92
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=66 | Vel=110
T=0.0000s | Pitch=50 | Vel=82
T=0.0000s | Pitch=57 | Vel=89
T=0.0000s | Pitch=50 | Vel=109
T=0.0000s | Pitch=33 | Vel=118
T=0.0000s | Pitch=50 | Vel=83
T=0.0000s | Pitch=67 | Vel=92
T=0.0000s | Pitch=59 | Vel=102
T=0.0000s | Pitch=35 | Vel=116
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=62 | Vel=105
T=0.0000s | Pitch=53 | Vel=103
T=0.0000s | Pitch=57 | Vel=101
T=0.0000s | Pitch=33 | Vel=117
T=0.0000s | Pitch=57 | Vel=105
T=0.0000s | Pitch=50 | Vel=85
T=0.0000s | Pitch=57 | Vel=87
T=0.0000s | Pitch=62 | Vel=100
T=0.0000s | Pitch=54 | Vel=113
T=0.0000s | Pitch=38 | Vel=119
T=0.0000s | Pitch=50 | Vel=92
T=0.0000s | Pitch=66 | Vel=96
T=0.0000s | Pitch=50 | Vel=109
T=0.0000s | Pitch=57 | Vel=96
T=0.0000s | Pitch=38 | Vel=117
T=0.0000s | Pitch=50 | Vel=80
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=67 | Vel=92
T=0.0000s | Pitch=55 | Vel=102
T=0.0000s | Pitch=59 | Vel=104
T=0.0000s | Pitch=35 | Vel=116
T=0.0000s | Pitch=62 | Vel=105
T=0.0000s | Pitch=50 | Vel=92
T=0.0000s | Pitch=50 | Vel=87
T=0.0000s | Pitch=57 | Vel=87
T=0.0000s | Pitch=50 | Vel=105
T=0.0000s | Pitch=33 | Vel=117
T=0.0000s | Pitch=54 | Vel=113
T=0.0000s | Pitch=66 | Vel=105
T=0.0000s | Pitch=38 | Vel=118
T=0.0000s | Pitch=57 | Vel=103
T=0.0000s | Pitch=50 | Vel=85
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=62 | Vel=105
T=0.0000s | Pitch=50 | Vel=105
T=0.0000s | Pitch=50 | Vel=83
T=0.0000s | Pitch=57 | Vel=96
T=0.0000s | Pitch=38 | Vel=119
T=0.0000s | Pitch=57 | Vel=89
T=0.0000s | Pitch=35 | Vel=117
T=0.0000s | Pitch=50 | Vel=85
T=0.0000s | Pitch=55 | Vel=101
T=0.0000s | Pitch=59 | Vel=105
T=0.0000s | Pitch=62 | Vel=92
T=0.0000s | Pitch=67 | Vel=92
T=0.0000s | Pitch=57 | Vel=96
T=0.0000s | Pitch=50 | Vel=107
T=0.0000s | Pitch=33 | Vel=118
T=0.0000s | Pitch=50 | Vel=80
T=0.0000s | Pitch=57 | Vel=102
T=0.0000s | Pitch=60 | Vel=103
T=0.0000s | Pitch=41 | Vel=117
T=0.0000s | Pitch=50 | Vel=89
T=0.0000s | Pitch=62 | Vel=92
T=0.0000s | Pitch=57 | Vel=85
T=0.0000s | Pitch=69 | Vel=87
T=0.0000s | Pitch=50 | Vel=105
T=0.0000s | Pitch=42 | Vel=118
T=0.0000s | Pitch=50 | Vel=79
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=50 | Vel=89
T=0.0000s | Pitch=67 | Vel=96
T=0.0000s | Pitch=41 | Vel=115
T=0.0000s | Pitch=55 | Vel=103
T=0.0000s | Pitch=59 | Vel=94
T=0.0000s | Pitch=57 | Vel=100
T=0.0000s | Pitch=62 | Vel=100
T=0.0000s | Pitch=50 | Vel=89
T=0.0000s | Pitch=42 | Vel=118
T=0.0000s | Pitch=50 | Vel=107
T=0.0000s | Pitch=57 | Vel=87
T=0.0000s | Pitch=54 | Vel=109
T=0.0000s | Pitch=57 | Vel=104
T=0.0000s | Pitch=38 | Vel=119
T=0.0000s | Pitch=57 | Vel=92
T=0.0000s | Pitch=62 | Vel=100
T=0.0000s | Pitch=66 | Vel=105
T=0.0000s | Pitch=38 | Vel=123
T=0.0000s | Pitch=50 | Vel=89
T=0.0000s | Pitch=38 | Vel=66
T=0.0000s | Pitch=50 | Vel=92
T=0.0000s | Pitch=57 | Vel=96
T=0.0000s | Pitch=35 | Vel=115
T=0.0000s | Pitch=38 | Vel=73
T=0.0000s | Pitch=50 | Vel=107
T=0.0000s | Pitch=38 | Vel=92
T=0.0000s | Pitch=59 | Vel=109
T=0.0000s | Pitch=50 | Vel=92
T=0.0000s | Pitch=67 | Vel=92
T=0.0000s | Pitch=33 | Vel=116
T=0.0000s | Pitch=38 | Vel=127
T=0.0000s | Pitch=55 | Vel=102
T=0.0000s | Pitch=57 | Vel=87
T=0.0000s | Pitch=62 | Vel=96
T=0.0000s | Pitch=50 | Vel=107
T=0.0000s | Pitch=57 | Vel=105
T=0.0000s | Pitch=35 | Vel=117
T=0.0000s | Pitch=50 | Vel=96
T=0.0000s | Pitch=38 | Vel=127
T=0.0000s | Pitch=57 | Vel=99
T=0.0000s | Pitch=54 | Vel=113
T=0.0000s | Pitch=38 | Vel=119
T=0.0000s | Pitch=62 | Vel=99
T=0.0000s | Pitch=36 | Vel=127
T=0.0000s | Pitch=57 | Vel=96
T=0.0000s | Pitch=57 | Vel=91
T=0.0000s | Pitch=66 | Vel=95
T=0.0000s | Pitch=57 | Vel=88
T=0.0000s | Pitch=38 | Vel=115
T=0.0000s | Pitch=42 | Vel=73
T=0.0000s | Pitch=50 | Vel=107
T=0.0000s | Pitch=59 | Vel=102
T=0.0000s | Pitch=55 | Vel=105
T=0.0000s | Pitch=35 | Vel=114
T=0.0000s | Pitch=62 | Vel=95
T=0.0000s | Pitch=38 | Vel=123
T=0.0000s | Pitch=42 | Vel=120
T=0.0000s | Pitch=57 | Vel=82
T=0.0000s | Pitch=67 | Vel=82
T=0.0000s | Pitch=54 | Vel=111
T=0.0000s | Pitch=66 | Vel=99
T=0.0000s | Pitch=33 | Vel=115
T=0.0000s | Pitch=57 | Vel=86
T=0.0000s | Pitch=62 | Vel=99
T=0.0000s | Pitch=42 | Vel=73
T=0.0000s | Pitch=57 | Vel=109
T=0.0000s | Pitch=38 | Vel=119
T=0.0000s | Pitch=36 | Vel=127
T=0.0000s | Pitch=42 | Vel=120
T=0.0000s | Pitch=50 | Vel=109
T=0.0000s | Pitch=38 | Vel=117
T=0.0000s | Pitch=36 | Vel=105
T=0.0000s | Pitch=42 | Vel=73
T=0.0000s | Pitch=57 | Vel=88
T=0.0000s | Pitch=59 | Vel=111
T=0.0000s | Pitch=55 | Vel=107
T=0.0000s | Pitch=35 | Vel=115
T=0.0000s | Pitch=62 | Vel=95
T=0.0000s | Pitch=38 | Vel=123
T=0.0000s | Pitch=42 | Vel=120
T=0.0000s | Pitch=66 | Vel=99
T=0.0000s | Pitch=50 | Vel=111
T=0.0000s | Pitch=33 | Vel=114
T=0.0000s | Pitch=57 | Vel=88
T=0.0000s | Pitch=42 | Vel=73
T=0.0000s | Pitch=50 | Vel=111
T=0.0000s | Pitch=59 | Vel=91
T=0.0000s | Pitch=59 | Vel=107
T=0.0000s | Pitch=31 | Vel=116
T=0.0000s | Pitch=36 | Vel=127
T=0.0000s | Pitch=42 | Vel=120
T=0.0000s | Pitch=55 | Vel=105
T=0.0000s | Pitch=62 | Vel=86
T=0.0000s | Pitch=67 | Vel=91
