# MIDI Notes Export
# Format: T (seconds) | Pitch (MIDI note number) | Velocity
# ============================================================

T=0.0000s | Pitch=65 | Vel=41
T=0.0000s | Pitch=58 | Vel=41
T=0.0000s | Pitch=70 | Vel=41
T=0.0000s | Pitch=74 | Vel=41
T=0.0000s | Pitch=74 | Vel=41
T=0.0000s | Pitch=70 | Vel=41
T=0.0000s | Pitch=65 | Vel=41
T=0.0000s | Pitch=69 | Vel=41
T=0.0000s | Pitch=62 | Vel=41
T=0.0000s | Pitch=57 | Vel=41
T=0.0000s | Pitch=77 | Vel=41
T=0.0000s | Pitch=74 | Vel=41
T=0.0000s | Pitch=69 | Vel=41
T=0.0000s | Pitch=65 | Vel=41
T=0.0000s | Pitch=69 | Vel=41
T=0.0000s | Pitch=58 | Vel=41
T=0.0000s | Pitch=63 | Vel=41
T=0.0000s | Pitch=67 | Vel=41
T=0.0000s | Pitch=70 | Vel=41
T=0.0000s | Pitch=75 | Vel=41
T=0.0000s | Pitch=70 | Vel=41
T=0.0000s | Pitch=67 | Vel=41
T=0.0000s | Pitch=70 | Vel=41
T=0.0000s | Pitch=63 | Vel=41
T=0.0000s | Pitch=58 | Vel=41
T=0.0000s | Pitch=66 | Vel=41
T=0.0000s | Pitch=70 | Vel=41
T=0.0000s | Pitch=75 | Vel=41
T=0.0000s | Pitch=66 | Vel=41
T=0.0000s | Pitch=70 | Vel=41
T=0.0000s | Pitch=77 | Vel=41
T=0.0000s | Pitch=60 | Vel=41
T=0.0000s | Pitch=66 | Vel=42
T=0.0000s | Pitch=70 | Vel=43
T=0.0000s | Pitch=72 | Vel=43
T=0.0000s | Pitch=63 | Vel=44
T=0.0000s | Pitch=67 | Vel=44
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=70 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=53 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=74 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=53 | Vel=45
T=0.0000s | Pitch=65 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=60 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=57 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=65 | Vel=45
T=0.0000s | Pitch=72 | Vel=45
T=0.0000s | Pitch=74 | Vel=45
T=0.0000s | Pitch=72 | Vel=45
T=0.0000s | Pitch=51 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=70 | Vel=45
T=0.0000s | Pitch=70 | Vel=45
T=0.0000s | Pitch=51 | Vel=45
T=0.0000s | Pitch=54 | Vel=45
T=0.0000s | Pitch=67 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=65 | Vel=45
T=0.0000s | Pitch=53 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=65 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=74 | Vel=45
T=0.0000s | Pitch=53 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=65 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=60 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=57 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=65 | Vel=45
T=0.0000s | Pitch=72 | Vel=45
T=0.0000s | Pitch=74 | Vel=45
T=0.0000s | Pitch=72 | Vel=45
T=0.0000s | Pitch=51 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=70 | Vel=45
T=0.0000s | Pitch=70 | Vel=45
T=0.0000s | Pitch=54 | Vel=45
T=0.0000s | Pitch=51 | Vel=45
T=0.0000s | Pitch=67 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=65 | Vel=45
T=0.0000s | Pitch=53 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=74 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=53 | Vel=45
T=0.0000s | Pitch=77 | Vel=45
T=0.0000s | Pitch=70 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=58 | Vel=45
T=0.0000s | Pitch=60 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=57 | Vel=45
T=0.0000s | Pitch=62 | Vel=45
T=0.0000s | Pitch=77 | Vel=45
T=0.0000s | Pitch=65 | Vel=45
T=0.0000s | Pitch=79 | Vel=45
T=0.0000s | Pitch=77 | Vel=45
T=0.0000s | Pitch=74 | Vel=45
