# MIDI Notes Export
# Format: T (seconds) | Pitch (MIDI note number) | Velocity
# ============================================================

T=0.0000s | Pitch=71 | Vel=52
T=0.0000s | Pitch=69 | Vel=47
T=0.0000s | Pitch=68 | Vel=59
T=0.0000s | Pitch=69 | Vel=62
T=0.0000s | Pitch=72 | Vel=71
T=0.0000s | Pitch=57 | Vel=41
T=0.0000s | Pitch=60 | Vel=48
T=0.0000s | Pitch=64 | Vel=48
T=0.0000s | Pitch=74 | Vel=59
T=0.0000s | Pitch=60 | Vel=47
T=0.0000s | Pitch=64 | Vel=47
T=0.0000s | Pitch=72 | Vel=57
T=0.0000s | Pitch=71 | Vel=62
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=72 | Vel=64
T=0.0000s | Pitch=76 | Vel=71
T=0.0000s | Pitch=57 | Vel=40
T=0.0000s | Pitch=60 | Vel=46
T=0.0000s | Pitch=64 | Vel=46
T=0.0000s | Pitch=77 | Vel=56
T=0.0000s | Pitch=60 | Vel=53
T=0.0000s | Pitch=64 | Vel=53
T=0.0000s | Pitch=76 | Vel=52
T=0.0000s | Pitch=75 | Vel=61
T=0.0000s | Pitch=60 | Vel=48
T=0.0000s | Pitch=64 | Vel=48
T=0.0000s | Pitch=76 | Vel=65
T=0.0000s | Pitch=83 | Vel=78
T=0.0000s | Pitch=57 | Vel=48
T=0.0000s | Pitch=81 | Vel=67
T=0.0000s | Pitch=80 | Vel=60
T=0.0000s | Pitch=60 | Vel=66
T=0.0000s | Pitch=64 | Vel=66
T=0.0000s | Pitch=81 | Vel=76
T=0.0000s | Pitch=83 | Vel=73
T=0.0000s | Pitch=57 | Vel=57
T=0.0000s | Pitch=81 | Vel=70
T=0.0000s | Pitch=80 | Vel=73
T=0.0000s | Pitch=60 | Vel=67
T=0.0000s | Pitch=64 | Vel=67
T=0.0000s | Pitch=81 | Vel=81
T=0.0000s | Pitch=84 | Vel=90
T=0.0000s | Pitch=57 | Vel=62
T=0.0000s | Pitch=60 | Vel=75
T=0.0000s | Pitch=64 | Vel=75
T=0.0000s | Pitch=81 | Vel=75
T=0.0000s | Pitch=60 | Vel=65
T=0.0000s | Pitch=64 | Vel=65
T=0.0000s | Pitch=84 | Vel=89
T=0.0000s | Pitch=60 | Vel=67
T=0.0000s | Pitch=64 | Vel=67
T=0.0000s | Pitch=79 | Vel=87
T=0.0000s | Pitch=81 | Vel=87
T=0.0000s | Pitch=83 | Vel=87
T=0.0000s | Pitch=52 | Vel=58
T=0.0000s | Pitch=78 | Vel=77
T=0.0000s | Pitch=81 | Vel=77
T=0.0000s | Pitch=59 | Vel=81
T=0.0000s | Pitch=64 | Vel=81
T=0.0000s | Pitch=76 | Vel=76
T=0.0000s | Pitch=79 | Vel=76
T=0.0000s | Pitch=59 | Vel=70
T=0.0000s | Pitch=64 | Vel=70
T=0.0000s | Pitch=78 | Vel=86
T=0.0000s | Pitch=81 | Vel=86
T=0.0000s | Pitch=59 | Vel=68
T=0.0000s | Pitch=64 | Vel=68
T=0.0000s | Pitch=79 | Vel=87
T=0.0000s | Pitch=81 | Vel=87
T=0.0000s | Pitch=83 | Vel=87
T=0.0000s | Pitch=52 | Vel=60
T=0.0000s | Pitch=78 | Vel=74
T=0.0000s | Pitch=81 | Vel=74
T=0.0000s | Pitch=59 | Vel=76
T=0.0000s | Pitch=64 | Vel=76
T=0.0000s | Pitch=76 | Vel=74
T=0.0000s | Pitch=79 | Vel=74
T=0.0000s | Pitch=59 | Vel=64
T=0.0000s | Pitch=64 | Vel=64
T=0.0000s | Pitch=78 | Vel=97
T=0.0000s | Pitch=81 | Vel=97
T=0.0000s | Pitch=59 | Vel=62
T=0.0000s | Pitch=64 | Vel=62
T=0.0000s | Pitch=79 | Vel=105
T=0.0000s | Pitch=81 | Vel=105
T=0.0000s | Pitch=83 | Vel=105
T=0.0000s | Pitch=52 | Vel=57
T=0.0000s | Pitch=78 | Vel=88
T=0.0000s | Pitch=81 | Vel=88
T=0.0000s | Pitch=59 | Vel=83
T=0.0000s | Pitch=64 | Vel=83
T=0.0000s | Pitch=76 | Vel=88
T=0.0000s | Pitch=79 | Vel=88
T=0.0000s | Pitch=47 | Vel=61
T=0.0000s | Pitch=75 | Vel=83
T=0.0000s | Pitch=78 | Vel=83
T=0.0000s | Pitch=59 | Vel=66
T=0.0000s | Pitch=76 | Vel=77
T=0.0000s | Pitch=52 | Vel=63
T=0.0000s | Pitch=71 | Vel=53
T=0.0000s | Pitch=69 | Vel=48
T=0.0000s | Pitch=68 | Vel=59
T=0.0000s | Pitch=69 | Vel=63
T=0.0000s | Pitch=72 | Vel=71
T=0.0000s | Pitch=57 | Vel=46
T=0.0000s | Pitch=60 | Vel=53
T=0.0000s | Pitch=64 | Vel=53
T=0.0000s | Pitch=74 | Vel=58
T=0.0000s | Pitch=60 | Vel=52
T=0.0000s | Pitch=64 | Vel=52
T=0.0000s | Pitch=72 | Vel=51
T=0.0000s | Pitch=71 | Vel=62
T=0.0000s | Pitch=60 | Vel=49
T=0.0000s | Pitch=64 | Vel=49
T=0.0000s | Pitch=72 | Vel=65
T=0.0000s | Pitch=76 | Vel=73
T=0.0000s | Pitch=57 | Vel=43
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=77 | Vel=55
T=0.0000s | Pitch=60 | Vel=48
T=0.0000s | Pitch=64 | Vel=48
T=0.0000s | Pitch=76 | Vel=54
T=0.0000s | Pitch=75 | Vel=58
T=0.0000s | Pitch=60 | Vel=48
T=0.0000s | Pitch=64 | Vel=48
T=0.0000s | Pitch=76 | Vel=59
T=0.0000s | Pitch=83 | Vel=77
T=0.0000s | Pitch=57 | Vel=49
T=0.0000s | Pitch=81 | Vel=63
T=0.0000s | Pitch=80 | Vel=66
T=0.0000s | Pitch=60 | Vel=62
T=0.0000s | Pitch=64 | Vel=62
T=0.0000s | Pitch=81 | Vel=69
T=0.0000s | Pitch=83 | Vel=76
T=0.0000s | Pitch=57 | Vel=57
T=0.0000s | Pitch=81 | Vel=69
T=0.0000s | Pitch=80 | Vel=63
T=0.0000s | Pitch=60 | Vel=69
T=0.0000s | Pitch=64 | Vel=69
T=0.0000s | Pitch=81 | Vel=81
T=0.0000s | Pitch=84 | Vel=84
T=0.0000s | Pitch=57 | Vel=58
T=0.0000s | Pitch=60 | Vel=68
T=0.0000s | Pitch=64 | Vel=68
T=0.0000s | Pitch=81 | Vel=76
T=0.0000s | Pitch=60 | Vel=69
T=0.0000s | Pitch=64 | Vel=69
T=0.0000s | Pitch=84 | Vel=84
T=0.0000s | Pitch=60 | Vel=66
T=0.0000s | Pitch=64 | Vel=66
T=0.0000s | Pitch=79 | Vel=88
T=0.0000s | Pitch=81 | Vel=88
T=0.0000s | Pitch=83 | Vel=88
T=0.0000s | Pitch=52 | Vel=54
T=0.0000s | Pitch=78 | Vel=74
T=0.0000s | Pitch=81 | Vel=74
T=0.0000s | Pitch=59 | Vel=83
T=0.0000s | Pitch=64 | Vel=83
T=0.0000s | Pitch=76 | Vel=72
T=0.0000s | Pitch=79 | Vel=72
T=0.0000s | Pitch=59 | Vel=65
T=0.0000s | Pitch=64 | Vel=65
T=0.0000s | Pitch=78 | Vel=83
T=0.0000s | Pitch=81 | Vel=83
T=0.0000s | Pitch=59 | Vel=64
T=0.0000s | Pitch=64 | Vel=64
T=0.0000s | Pitch=79 | Vel=84
T=0.0000s | Pitch=81 | Vel=84
T=0.0000s | Pitch=83 | Vel=84
T=0.0000s | Pitch=52 | Vel=57
T=0.0000s | Pitch=78 | Vel=73
T=0.0000s | Pitch=81 | Vel=73
T=0.0000s | Pitch=59 | Vel=83
T=0.0000s | Pitch=64 | Vel=83
T=0.0000s | Pitch=76 | Vel=71
T=0.0000s | Pitch=79 | Vel=71
T=0.0000s | Pitch=59 | Vel=71
T=0.0000s | Pitch=64 | Vel=71
T=0.0000s | Pitch=78 | Vel=93
T=0.0000s | Pitch=81 | Vel=93
T=0.0000s | Pitch=59 | Vel=60
T=0.0000s | Pitch=64 | Vel=60
T=0.0000s | Pitch=79 | Vel=106
T=0.0000s | Pitch=81 | Vel=106
T=0.0000s | Pitch=83 | Vel=106
T=0.0000s | Pitch=52 | Vel=58
T=0.0000s | Pitch=78 | Vel=92
