# MIDI Notes Export
# Format: T (seconds) | Pitch (MIDI note number) | Velocity
# ============================================================

T=0.0000s | Pitch=72 | Vel=121
T=0.0000s | Pitch=74 | Vel=119
T=0.0000s | Pitch=70 | Vel=121
T=0.0000s | Pitch=72 | Vel=122
T=0.0000s | Pitch=74 | Vel=117
T=0.0000s | Pitch=73 | Vel=118
T=0.0000s | Pitch=74 | Vel=123
T=0.0000s | Pitch=75 | Vel=123
T=0.0000s | Pitch=77 | Vel=122
T=0.0000s | Pitch=75 | Vel=121
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=74 | Vel=122
T=0.0000s | Pitch=75 | Vel=121
T=0.0000s | Pitch=77 | Vel=121
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=118
T=0.0000s | Pitch=73 | Vel=122
T=0.0000s | Pitch=74 | Vel=123
T=0.0000s | Pitch=74 | Vel=122
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=70 | Vel=120
T=0.0000s | Pitch=72 | Vel=118
T=0.0000s | Pitch=74 | Vel=118
T=0.0000s | Pitch=77 | Vel=123
T=0.0000s | Pitch=80 | Vel=122
T=0.0000s | Pitch=81 | Vel=122
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=78 | Vel=122
T=0.0000s | Pitch=79 | Vel=122
T=0.0000s | Pitch=82 | Vel=123
T=0.0000s | Pitch=82 | Vel=122
T=0.0000s | Pitch=82 | Vel=122
T=0.0000s | Pitch=81 | Vel=120
T=0.0000s | Pitch=82 | Vel=119
T=0.0000s | Pitch=79 | Vel=123
T=0.0000s | Pitch=74 | Vel=123
T=0.0000s | Pitch=75 | Vel=123
T=0.0000s | Pitch=72 | Vel=123
T=0.0000s | Pitch=78 | Vel=123
T=0.0000s | Pitch=79 | Vel=123
T=0.0000s | Pitch=77 | Vel=123
T=0.0000s | Pitch=79 | Vel=122
T=0.0000s | Pitch=80 | Vel=121
T=0.0000s | Pitch=79 | Vel=122
T=0.0000s | Pitch=79 | Vel=123
T=0.0000s | Pitch=79 | Vel=123
T=0.0000s | Pitch=80 | Vel=119
T=0.0000s | Pitch=79 | Vel=123
T=0.0000s | Pitch=79 | Vel=123
T=0.0000s | Pitch=77 | Vel=122
T=0.0000s | Pitch=77 | Vel=123
T=0.0000s | Pitch=70 | Vel=123
T=0.0000s | Pitch=70 | Vel=123
T=0.0000s | Pitch=77 | Vel=122
T=0.0000s | Pitch=77 | Vel=123
T=0.0000s | Pitch=79 | Vel=123
T=0.0000s | Pitch=79 | Vel=123
T=0.0000s | Pitch=80 | Vel=122
T=0.0000s | Pitch=80 | Vel=122
T=0.0000s | Pitch=82 | Vel=122
T=0.0000s | Pitch=80 | Vel=119
T=0.0000s | Pitch=79 | Vel=118
