# MIDI Notes Export
# Format: T (seconds) | Pitch (MIDI note number) | Velocity
# ============================================================

T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=48 | Vel=100
T=0.0000s | Pitch=52 | Vel=100
T=0.0000s | Pitch=55 | Vel=100
