# MIDI Notes Export
# Format: T (seconds) | Pitch (MIDI note number) | Velocity
# ============================================================

T=0.0000s | Pitch=38 | Vel=76
T=0.0000s | Pitch=38 | Vel=88
T=0.0000s | Pitch=38 | Vel=100
T=0.0000s | Pitch=57 | Vel=76
T=0.0000s | Pitch=38 | Vel=74
T=0.0000s | Pitch=38 | Vel=74
T=0.0000s | Pitch=62 | Vel=84
T=0.0000s | Pitch=46 | Vel=70
T=0.0000s | Pitch=38 | Vel=108
T=0.0000s | Pitch=66 | Vel=88
T=0.0000s | Pitch=38 | Vel=84
T=0.0000s | Pitch=62 | Vel=80
T=0.0000s | Pitch=38 | Vel=80
T=0.0000s | Pitch=57 | Vel=84
T=0.0000s | Pitch=33 | Vel=88
T=0.0000s | Pitch=33 | Vel=49
T=0.0000s | Pitch=38 | Vel=100
T=0.0000s | Pitch=59 | Vel=70
T=0.0000s | Pitch=57 | Vel=108
T=0.0000s | Pitch=61 | Vel=88
T=0.0000s | Pitch=64 | Vel=108
T=0.0000s | Pitch=38 | Vel=88
T=0.0000s | Pitch=61 | Vel=84
T=0.0000s | Pitch=38 | Vel=72
T=0.0000s | Pitch=57 | Vel=84
T=0.0000s | Pitch=38 | Vel=72
T=0.0000s | Pitch=102 | Vel=72
T=0.0000s | Pitch=38 | Vel=76
T=0.0000s | Pitch=38 | Vel=92
T=0.0000s | Pitch=38 | Vel=88
T=0.0000s | Pitch=38 | Vel=72
T=0.0000s | Pitch=54 | Vel=84
T=0.0000s | Pitch=38 | Vel=72
T=0.0000s | Pitch=57 | Vel=84
T=0.0000s | Pitch=62 | Vel=108
T=0.0000s | Pitch=38 | Vel=100
T=0.0000s | Pitch=38 | Vel=68
T=0.0000s | Pitch=57 | Vel=84
T=0.0000s | Pitch=54 | Vel=76
T=0.0000s | Pitch=38 | Vel=68
T=0.0000s | Pitch=66 | Vel=92
T=0.0000s | Pitch=38 | Vel=101
T=0.0000s | Pitch=33 | Vel=80
T=0.0000s | Pitch=98 | Vel=72
T=0.0000s | Pitch=38 | Vel=66
T=0.0000s | Pitch=62 | Vel=88
T=0.0000s | Pitch=57 | Vel=84
T=0.0000s | Pitch=38 | Vel=66
T=0.0000s | Pitch=69 | Vel=100
T=0.0000s | Pitch=33 | Vel=80
T=0.0000s | Pitch=38 | Vel=110
T=0.0000s | Pitch=35 | Vel=80
T=0.0000s | Pitch=66 | Vel=76
T=0.0000s | Pitch=38 | Vel=76
T=0.0000s | Pitch=62 | Vel=76
T=0.0000s | Pitch=37 | Vel=88
T=0.0000s | Pitch=38 | Vel=76
T=0.0000s | Pitch=69 | Vel=70
T=0.0000s | Pitch=62 | Vel=127
T=0.0000s | Pitch=38 | Vel=88
T=0.0000s | Pitch=62 | Vel=103
T=0.0000s | Pitch=62 | Vel=70
T=0.0000s | Pitch=62 | Vel=112
T=0.0000s | Pitch=62 | Vel=112
T=0.0000s | Pitch=57 | Vel=127
T=0.0000s | Pitch=54 | Vel=127
T=0.0000s | Pitch=38 | Vel=118
T=0.0000s | Pitch=66 | Vel=120
T=0.0000s | Pitch=62 | Vel=83
T=0.0000s | Pitch=62 | Vel=92
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=62 | Vel=84
T=0.0000s | Pitch=66 | Vel=100
T=0.0000s | Pitch=69 | Vel=100
T=0.0000s | Pitch=62 | Vel=83
T=0.0000s | Pitch=62 | Vel=85
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=66 | Vel=84
T=0.0000s | Pitch=66 | Vel=86
T=0.0000s | Pitch=69 | Vel=98
T=0.0000s | Pitch=44 | Vel=114
T=0.0000s | Pitch=69 | Vel=108
T=0.0000s | Pitch=38 | Vel=110
T=0.0000s | Pitch=62 | Vel=103
T=0.0000s | Pitch=62 | Vel=90
T=0.0000s | Pitch=66 | Vel=113
T=0.0000s | Pitch=66 | Vel=90
T=0.0000s | Pitch=69 | Vel=100
T=0.0000s | Pitch=66 | Vel=84
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=62 | Vel=83
T=0.0000s | Pitch=62 | Vel=90
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=66 | Vel=90
T=0.0000s | Pitch=69 | Vel=100
T=0.0000s | Pitch=62 | Vel=84
T=0.0000s | Pitch=62 | Vel=83
T=0.0000s | Pitch=62 | Vel=85
T=0.0000s | Pitch=38 | Vel=86
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=66 | Vel=87
T=0.0000s | Pitch=69 | Vel=92
T=0.0000s | Pitch=30 | Vel=80
T=0.0000s | Pitch=69 | Vel=112
T=0.0000s | Pitch=73 | Vel=75
T=0.0000s | Pitch=38 | Vel=118
T=0.0000s | Pitch=102 | Vel=64
T=0.0000s | Pitch=61 | Vel=93
T=0.0000s | Pitch=66 | Vel=78
T=0.0000s | Pitch=61 | Vel=127
T=0.0000s | Pitch=66 | Vel=113
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=61 | Vel=83
T=0.0000s | Pitch=66 | Vel=88
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=61 | Vel=92
T=0.0000s | Pitch=69 | Vel=90
T=0.0000s | Pitch=73 | Vel=90
T=0.0000s | Pitch=66 | Vel=80
T=0.0000s | Pitch=61 | Vel=83
T=0.0000s | Pitch=66 | Vel=84
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=69 | Vel=84
T=0.0000s | Pitch=73 | Vel=90
T=0.0000s | Pitch=69 | Vel=108
T=0.0000s | Pitch=38 | Vel=110
T=0.0000s | Pitch=44 | Vel=106
T=0.0000s | Pitch=61 | Vel=93
T=0.0000s | Pitch=66 | Vel=80
T=0.0000s | Pitch=66 | Vel=113
T=0.0000s | Pitch=69 | Vel=80
T=0.0000s | Pitch=73 | Vel=84
T=0.0000s | Pitch=66 | Vel=76
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=61 | Vel=83
T=0.0000s | Pitch=66 | Vel=72
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=69 | Vel=80
T=0.0000s | Pitch=73 | Vel=90
T=0.0000s | Pitch=61 | Vel=80
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=61 | Vel=83
T=0.0000s | Pitch=66 | Vel=76
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=69 | Vel=80
T=0.0000s | Pitch=73 | Vel=91
T=0.0000s | Pitch=47 | Vel=127
T=0.0000s | Pitch=62 | Vel=112
T=0.0000s | Pitch=35 | Vel=80
T=0.0000s | Pitch=71 | Vel=70
T=0.0000s | Pitch=38 | Vel=110
T=0.0000s | Pitch=98 | Vel=80
T=0.0000s | Pitch=62 | Vel=103
T=0.0000s | Pitch=62 | Vel=70
T=0.0000s | Pitch=54 | Vel=100
T=0.0000s | Pitch=66 | Vel=120
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=62 | Vel=83
T=0.0000s | Pitch=59 | Vel=100
T=0.0000s | Pitch=62 | Vel=80
T=0.0000s | Pitch=66 | Vel=93
T=0.0000s | Pitch=66 | Vel=84
T=0.0000s | Pitch=71 | Vel=92
T=0.0000s | Pitch=62 | Vel=96
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=88
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=66 | Vel=88
T=0.0000s | Pitch=66 | Vel=113
T=0.0000s | Pitch=71 | Vel=90
T=0.0000s | Pitch=66 | Vel=84
T=0.0000s | Pitch=38 | Vel=118
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=44 | Vel=90
T=0.0000s | Pitch=62 | Vel=84
T=0.0000s | Pitch=66 | Vel=120
T=0.0000s | Pitch=66 | Vel=84
T=0.0000s | Pitch=71 | Vel=90
T=0.0000s | Pitch=62 | Vel=80
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=80
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=66 | Vel=83
T=0.0000s | Pitch=71 | Vel=90
T=0.0000s | Pitch=59 | Vel=62
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=88
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=66 | Vel=90
T=0.0000s | Pitch=71 | Vel=97
T=0.0000s | Pitch=33 | Vel=88
T=0.0000s | Pitch=38 | Vel=118
T=0.0000s | Pitch=62 | Vel=103
T=0.0000s | Pitch=62 | Vel=86
T=0.0000s | Pitch=66 | Vel=120
T=0.0000s | Pitch=66 | Vel=90
T=0.0000s | Pitch=71 | Vel=98
T=0.0000s | Pitch=59 | Vel=80
T=0.0000s | Pitch=38 | Vel=102
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=80
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=66 | Vel=82
T=0.0000s | Pitch=71 | Vel=88
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=88
T=0.0000s | Pitch=38 | Vel=98
T=0.0000s | Pitch=66 | Vel=88
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=71 | Vel=94
T=0.0000s | Pitch=44 | Vel=114
T=0.0000s | Pitch=66 | Vel=84
T=0.0000s | Pitch=38 | Vel=118
T=0.0000s | Pitch=100 | Vel=80
T=0.0000s | Pitch=62 | Vel=103
T=0.0000s | Pitch=62 | Vel=80
T=0.0000s | Pitch=66 | Vel=86
T=0.0000s | Pitch=66 | Vel=120
T=0.0000s | Pitch=71 | Vel=97
T=0.0000s | Pitch=62 | Vel=88
T=0.0000s | Pitch=38 | Vel=90
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=80
T=0.0000s | Pitch=64 | Vel=100
T=0.0000s | Pitch=66 | Vel=83
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=71 | Vel=87
T=0.0000s | Pitch=102 | Vel=64
T=0.0000s | Pitch=59 | Vel=76
T=0.0000s | Pitch=38 | Vel=85
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=84
T=0.0000s | Pitch=66 | Vel=86
T=0.0000s | Pitch=66 | Vel=103
T=0.0000s | Pitch=71 | Vel=90
T=0.0000s | Pitch=31 | Vel=68
T=0.0000s | Pitch=69 | Vel=66
T=0.0000s | Pitch=38 | Vel=116
T=0.0000s | Pitch=62 | Vel=103
T=0.0000s | Pitch=62 | Vel=70
T=0.0000s | Pitch=67 | Vel=112
T=0.0000s | Pitch=62 | Vel=111
T=0.0000s | Pitch=59 | Vel=127
T=0.0000s | Pitch=55 | Vel=127
T=0.0000s | Pitch=50 | Vel=127
T=0.0000s | Pitch=67 | Vel=120
T=0.0000s | Pitch=103 | Vel=80
T=0.0000s | Pitch=59 | Vel=92
T=0.0000s | Pitch=38 | Vel=98
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=84
T=0.0000s | Pitch=67 | Vel=103
T=0.0000s | Pitch=67 | Vel=86
T=0.0000s | Pitch=71 | Vel=100
T=0.0000s | Pitch=62 | Vel=95
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=80
T=0.0000s | Pitch=38 | Vel=94
T=0.0000s | Pitch=67 | Vel=103
T=0.0000s | Pitch=67 | Vel=82
T=0.0000s | Pitch=71 | Vel=92
T=0.0000s | Pitch=67 | Vel=100
T=0.0000s | Pitch=38 | Vel=118
T=0.0000s | Pitch=44 | Vel=106
T=0.0000s | Pitch=62 | Vel=103
T=0.0000s | Pitch=62 | Vel=90
T=0.0000s | Pitch=67 | Vel=120
T=0.0000s | Pitch=67 | Vel=92
T=0.0000s | Pitch=71 | Vel=100
T=0.0000s | Pitch=62 | Vel=100
T=0.0000s | Pitch=38 | Vel=98
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=86
T=0.0000s | Pitch=67 | Vel=103
T=0.0000s | Pitch=67 | Vel=88
T=0.0000s | Pitch=71 | Vel=100
T=0.0000s | Pitch=59 | Vel=90
T=0.0000s | Pitch=62 | Vel=93
T=0.0000s | Pitch=62 | Vel=88
T=0.0000s | Pitch=38 | Vel=98
T=0.0000s | Pitch=67 | Vel=103
T=0.0000s | Pitch=67 | Vel=88
T=0.0000s | Pitch=71 | Vel=92
T=0.0000s | Pitch=30 | Vel=80
T=0.0000s | Pitch=38 | Vel=102
T=0.0000s | Pitch=62 | Vel=103
T=0.0000s | Pitch=69 | Vel=70
