# MIDI Notes Export
# Format: T (seconds) | Pitch (MIDI note number) | Velocity
# ============================================================

T=0.0000s | Pitch=42 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=36 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=36 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=36 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=42 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=36 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=36 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=36 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=49 | Vel=95
T=0.0000s | Pitch=42 | Vel=95
T=0.0000s | Pitch=42 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=42 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=42 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=43 | Vel=95
T=0.0000s | Pitch=36 | Vel=95
T=0.0000s | Pitch=42 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=42 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=42 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=42 | Vel=95
T=0.0000s | Pitch=35 | Vel=95
T=0.0000s | Pitch=43 | Vel=95
